Seed,DesiredNegatives,LegendaryNegatives,SkipTagOne,SkipTagTwo,RandomNegatives
15UQYF6,1,0,0,0,0
1BCP3DP,1,0,0,1,1
19V2HNJ,1,0,1,1,0
251HKRA,1,0,0,0,0
1FTQV39,1,0,0,0,1
1A3983N,1,0,0,0,1
1BN85B7,1,0,1,0,1
1AEHUB6,1,0,1,0,1
16ENFFN,1,0,0,0,1
1BOJQBK,1,0,0,0,0
1D8USTA,1,0,1,0,0
1EN3L2P,1,0,0,1,1
1EXCRZU,1,0,0,3,1
1DSJDDB,1,0,0,0,1
243AX7X,1,0,0,0,1
1D74HCB,1,0,0,0,0
1GN19TW,1,0,1,1,2
1F2CXL7,1,0,0,2,0
1EXVI2K,1,0,1,2,0
25QM7BN,1,0,1,0,1
1HJSOBJ,1,0,0,1,1
1GUYBIL,1,0,1,1,2
1FXW1R2,1,0,0,0,0
1IFB5SO,1,0,0,0,1
184QBL8,1,0,0,0,1
1DARNC4,1,0,0,1,1
1GU73GV,1,0,0,1,2
1DZKE5I,1,0,0,0,1
1IP1ZE8,1,0,2,0,0
1E8A83Y,1,0,0,1,0
1FHXIJH,1,0,0,0,2
1FZPPHP,1,0,1,1,4
1F3FH69,1,0,0,0,3
1DHCOHI,1,0,0,0,3
172YFX1,1,0,0,0,2
1EW6M7Y,1,0,0,0,2
1GFZR9K,1,0,2,1,0
21MCRJD,1,0,1,0,2
1G15XM9,1,0,0,2,1
1FO8YF4,1,0,1,0,2
1DGEJTW,1,0,1,0,0
1H9CIKL,1,0,0,0,2
1ENGA6K,1,0,0,0,1
17NWC65,1,0,0,0,1
1F96JHA,1,0,1,1,1
1GYFZK1,1,0,1,3,0
1CLNHSO,1,0,0,0,0
1HONKXG,1,0,1,1,2
1EQ6CAU,1,0,1,1,3
1GOWFFI,1,0,0,1,0
1GCTRJO,1,0,1,1,1
2ERLPDU,1,0,0,0,1
1CAV3DX,1,0,0,0,1
1H4OVGK,1,0,0,0,0
5SHHQQ,1,0,3,1,1
1HM6N49,1,0,0,0,2
12MD8BE,1,0,1,2,1
25FKZM3,1,0,1,0,2
28Q6TWE,1,0,1,0,2
1H9FQCN,1,0,2,0,0
1FVW2OB,1,0,0,0,3
1FWEQNJ,1,0,0,0,1
1IBINPP,1,0,1,0,2
291USJM,1,0,1,1,0
1CXMNKR,1,0,2,0,2
1FFYYPF,1,0,0,0,0
1I9L4YW,1,0,2,0,1
256ROXH,2,0,0,0,0
9T42HJ,1,0,0,0,2
1JONNN4,1,0,1,0,2
1EZZS6S,1,0,0,0,0
1GBXI3H,1,0,0,0,3
1BWTMUV,1,0,1,1,0
1I9PHMA,1,0,0,0,2
2BUI66Z,1,0,1,0,2
1DOEVXF,1,0,0,0,0
1K8TF8T,1,0,0,0,2
