Seed,Score,Perkeo,Canio,Triboulet,Yorick,Chicot,Blueprint,Brainstorm,NegSkipTags
BOF7U7EC,3,1,0,0,0,0,1,1,4
BOELH2N6,3,1,0,0,0,0,1,1,5
BOFTD3H4,3,1,0,0,0,0,1,1,4
BO8PNOOT,3,1,0,0,0,0,1,1,4
BOF69IDF,3,1,0,0,0,0,1,1,4
BPOX158P,3,1,0,0,0,0,1,1,4
BPQ9N2E3,3,1,0,0,0,0,1,1,4
BP5UY5GL,3,1,0,0,1,0,1,0,4
BPAFAIHT,3,1,0,0,0,0,1,1,4
BOW2LXMQ,3,1,0,0,0,0,1,1,4
BPSTFLYX,3,1,0,0,0,0,2,1,5
BOUU7KBU,3,1,0,0,0,0,1,1,4
BOZ2IOIY,3,1,0,0,0,0,1,1,4
BOLVM6X8,3,1,0,0,0,0,1,1,4
BOLDK2U1,3,1,0,0,0,0,2,1,4
BOJ6OL8O,3,1,0,0,0,1,1,0,4
BOO89SRQ,3,1,0,1,0,0,1,0,4
BOW54KQ2,3,1,0,0,0,0,1,1,4
BNKSZCUC,3,1,0,0,0,0,1,1,4
BOMO3UCZ,3,1,0,0,0,0,1,1,5
BP9G67Z8,3,1,0,0,0,0,1,1,4
BNU34H7I,3,1,0,0,0,0,1,1,4
BNUCWTAU,3,1,1,0,0,0,0,1,6
BOF8DY19,3,1,0,0,1,0,1,0,4
BPEB7IVX,3,1,0,0,0,0,1,1,4
BOQPKQBC,3,1,0,0,0,0,1,1,4
BQ2MTPMP,3,1,0,0,1,0,0,1,4
BOQETM7M,3,1,0,0,0,0,1,1,4
BOQC24OC,3,1,0,0,0,0,1,1,5
BPKPGOT1,3,1,1,0,0,0,0,1,4
BP3WZJIP,3,1,0,0,0,0,1,1,4
BNMXKVQF,3,1,0,0,0,0,1,1,4
BQ71MIFZ,3,1,0,0,0,0,1,1,5
BP5OSZLF,3,1,0,0,0,1,0,1,4
BO4MD5H9,3,1,0,0,0,0,1,1,4
BPBV45HK,4,1,0,1,0,0,1,1,4
BPA5QP3K,3,2,0,0,0,0,1,1,4
BP9252QR,3,1,0,0,0,0,1,1,5
BPA6VXYX,3,1,0,0,0,1,0,1,4
BOXEIISW,3,1,0,0,0,0,1,1,4
BPBCU4AY,3,1,1,0,0,0,1,0,4
BQEWCUTG,3,1,0,0,1,0,0,1,4
BPGC1HSP,3,1,0,0,0,0,1,1,4
BPBPIR6V,3,1,0,0,0,0,1,1,4
BPQBPNSJ,3,1,0,0,0,1,0,1,4
BOXUTORG,3,1,0,0,0,0,1,1,7
BPHMSF1H,3,1,0,0,0,1,0,1,4
BPK27OAJ,3,1,1,0,0,0,0,1,4
BQKRS9TB,3,1,1,0,0,0,1,0,4
BPXJSIOH,3,1,0,0,0,0,1,1,4
BQK1XGL9,3,1,0,0,0,0,1,1,4
BPFZQ32B,3,1,0,0,0,0,1,1,4
BQMSHBLK,3,1,0,0,0,0,1,1,5
BP1TX5R3,3,1,0,1,0,1,0,0,4
BP6S3XPV,3,1,0,0,0,0,1,1,4
BPHDBQGU,3,1,0,0,0,0,1,1,4
BPH6E54O,3,1,0,0,0,0,1,1,5
BP9KGP32,3,1,0,0,0,0,1,1,4
BNWGHJUO,3,1,0,0,0,0,1,1,4
BPI9O1V2,3,1,0,0,0,0,1,1,4
BQSUVPZF,3,1,0,0,1,0,1,0,4
BNNW259P,3,1,0,0,0,0,1,1,4
BO3Q7WM8,3,1,0,0,0,0,1,1,4
BP8LV2VQ,3,1,0,0,0,0,1,1,5
BPCC3RSD,3,1,0,0,0,0,1,1,4
BQ18U9GN,3,1,0,0,0,0,1,1,4
BPSIEOOO,3,1,0,0,0,0,1,1,4
BPAAMSWB,3,1,0,0,1,0,2,0,4
BQVNYGXB,3,1,0,0,0,0,1,1,4
BPNJDK3P,3,1,0,0,0,1,0,1,4
BPQPXZA9,3,1,0,0,1,0,0,1,5
BPLXZOW3,3,1,0,0,1,0,1,0,4
BP891HSV,4,1,0,0,1,0,1,1,4
BPEOM5G2,3,1,0,0,0,0,1,1,4
BQWMUNCO,3,1,1,0,0,0,0,1,4
BPKPXG8B,3,1,0,0,0,0,1,1,4
BPSBRBV3,3,1,0,0,0,0,1,1,4
BO76QRKS,3,1,0,1,1,0,0,0,4
BPPK19AC,3,1,0,0,0,0,1,1,4
BPDHCEZQ,3,1,0,0,0,0,1,1,4
BQA6HAGQ,4,1,1,0,0,0,1,1,4
BPW4HB3U,3,1,0,0,0,0,1,1,5
BO5UM69E,3,1,0,0,0,0,1,1,4
BPW4IVGP,3,1,0,0,0,0,1,1,4
BQC7WLV3,3,1,0,0,0,1,0,1,4
BOFIZ5PH,3,1,1,0,0,0,0,1,4
BRB6VVOX,3,1,0,0,0,0,1,1,4
BO6T5YJI,3,1,0,0,0,1,0,1,4
