Seed,Score,Blueprint,Brainstorm,OopsAll6s,LuckyCat,Hack,None,NegativeSkipTags,NegativeRandomJokers
1TJ5FU3 ,2,0,0,2,0,2,0,0,0
24UY1J9 ,2,0,0,0,1,1,0,0,0
1ULI1PQ ,2,0,1,0,0,1,0,0,0
1QO1HQV ,2,1,0,0,0,1,0,0,0
1SAQR85 ,1,0,0,0,0,1,0,1,0
21X7HWQ ,2,1,0,0,0,1,0,1,0
1UI4L8M ,1,0,0,0,0,2,0,1,0
1XGU6BR ,2,0,2,0,0,1,0,0,0
1ULKX92 ,1,0,0,0,0,1,0,2,0
1YARI62 ,2,0,1,0,0,1,0,0,0
1WG9HL5 ,2,1,0,0,0,1,0,1,1
1WNI478 ,2,0,1,0,0,1,0,1,0
1U648G1 ,1,0,0,0,0,1,0,1,0
1UB7M3F ,2,0,0,0,1,2,0,0,0
1YQIW59 ,1,0,0,0,0,1,0,1,0
1XUVY4L ,1,0,0,0,0,1,0,0,0
1XOO22H ,2,0,0,1,0,1,0,0,0
2146KA6 ,3,0,0,1,1,1,0,1,0
1X7JYZV ,1,0,0,0,0,1,0,0,0
1TIMJPT ,1,0,0,0,0,1,0,1,0
1YAPZZ7 ,2,0,0,0,1,1,0,1,0
21UYEQO ,3,0,1,1,0,1,0,0,0
