Seed,Score,Blurprint,Brainstorm,Burnt_Joker,Space_Joker,Oops_All_6s,DNA,NegativeTags,NegativeJokers
4BMXUS  ,2,1,0,0,0,1,0,2,0
4BXTX   ,1,1,0,0,0,0,0,1,0
4CPS7E  ,2,1,0,0,0,1,0,1,0
4EJT48  ,2,1,0,0,1,0,0,0,0
4F5RCM  ,3,1,0,0,1,1,0,2,0
4GH4FS  ,3,1,1,1,0,0,0,1,0
4JOQA3  ,2,1,1,0,0,0,0,1,0
4MMAGX  ,2,1,0,0,0,0,1,2,1
4NPKWP  ,2,1,0,0,0,1,0,0,0
4O9E1K  ,3,1,0,0,1,1,0,3,1
4SAW7X  ,1,1,0,0,0,0,0,0,0
4UI5HX  ,2,1,0,1,0,0,0,3,0
4Y27VW  ,3,1,0,0,1,1,0,0,0
4YCYXB  ,3,1,1,1,0,0,0,3,0
4YT3IF  ,3,1,0,1,1,0,0,0,1
4ZCDIX  ,2,1,1,0,0,0,0,3,0
521MA2  ,2,1,0,1,0,0,0,1,0
53MP5Y  ,2,1,0,0,0,1,0,1,0
57FWFC  ,1,1,0,0,0,0,0,0,0
59J6BL  ,2,1,0,0,0,0,1,0,0
5B43JB  ,2,1,0,0,0,1,0,1,0
5BRXTL  ,3,1,0,0,0,1,1,0,0
5GB1CA  ,2,1,0,0,0,1,0,0,0
5ISSDP  ,2,1,1,0,0,0,0,2,0
5K221X  ,4,1,0,1,1,1,0,0,0
5KI8N4  ,1,1,0,0,0,0,0,0,0
5LGJGM  ,2,1,1,0,0,0,0,2,0
5M9O34  ,2,1,0,0,0,1,0,1,1
5MQP1M  ,3,1,1,0,0,1,0,2,0
5NEQVV  ,1,1,0,0,0,0,0,0,0
5NPRJR  ,1,1,0,0,0,0,0,1,1
5QGHQI  ,1,1,0,0,0,0,0,0,0
5R8U3K  ,1,1,0,0,0,0,0,1,1
5ST8DD  ,4,1,0,1,0,1,1,2,0
5U17Z4  ,1,1,0,0,0,0,0,1,0
5UFITI  ,1,1,0,0,0,0,0,2,0
5VG5ZZ  ,1,1,0,0,0,0,0,2,0
5VJJCZ  ,2,1,1,0,0,0,0,0,0
5VPD5   ,4,1,0,0,1,1,1,0,0
5VWG7O  ,1,1,0,0,0,0,0,0,0
5X1OBL  ,1,1,0,0,0,0,0,0,0
6171F3  ,1,1,0,0,0,0,0,0,0
61QGGO  ,1,1,0,0,0,0,0,1,0
62YC4N  ,1,1,0,0,0,0,0,1,0
65F959  ,1,1,0,0,0,0,0,1,0
68UJBE  ,2,1,0,1,0,0,0,0,0
6BLHHT  ,2,1,1,0,0,0,0,0,0
6CEUJK  ,2,1,0,0,0,1,0,2,0
6ED3YL  ,2,1,1,0,0,0,0,2,0
6FFXKA  ,2,1,1,0,0,0,0,1,0
6IC45D  ,1,1,0,0,0,0,0,2,1
6JGG2Z  ,2,1,0,0,0,2,0,1,0
6LAUXP  ,1,1,0,0,0,0,0,0,0
6N58M8  ,1,1,0,0,0,0,0,1,0
6NPRH9  ,1,1,0,0,0,0,0,2,0
6QK1UX  ,2,1,0,0,0,0,1,1,0
6RCGK9  ,3,1,0,0,1,1,0,1,0
6REISZ  ,2,1,0,1,0,0,0,1,0
6RU5RU  ,1,1,0,0,0,0,0,1,1
6U749A  ,1,1,0,0,0,0,0,1,0
6VFCJS  ,2,1,0,0,0,0,1,0,0
6WOOQJ  ,1,1,0,0,0,0,0,2,0
6YG8EA  ,2,1,0,0,1,0,0,0,0
71767V  ,2,1,0,1,0,0,0,0,0
72AGNT  ,3,1,0,0,0,1,1,2,0
735MNA  ,1,1,0,0,0,0,0,1,0
73VSDN  ,1,1,0,0,0,0,0,2,0
74W4K5  ,1,1,0,0,0,0,0,2,0
74WMBO  ,3,1,0,1,0,1,0,2,1
76YXIQ  ,2,1,1,0,0,0,0,1,0
791X24  ,2,1,0,0,1,0,0,5,0
796X2   ,4,1,0,0,1,1,1,0,0
79ORV   ,2,1,0,0,0,1,0,1,0
7AO4CG  ,1,1,0,0,0,0,0,2,0
7D4LGF  ,3,1,0,0,0,1,1,0,0
7EFKPU  ,2,1,0,0,0,0,1,1,0
7F52T5  ,1,1,0,0,0,0,0,1,0
7FMOUI  ,2,1,0,0,0,1,0,2,0
7G64XC  ,2,1,0,0,0,1,0,0,0
7G6D5G  ,2,1,0,0,1,0,0,1,0
7GP6EJ  ,2,1,0,1,0,0,0,1,0
7GVB66  ,1,1,0,0,0,0,0,1,0
7IC2JO  ,1,1,0,0,0,0,0,0,0
7IVDZF  ,1,1,0,0,0,0,0,1,0
7K54HY  ,2,1,0,1,0,0,0,2,0
7MUKBI  ,4,1,0,1,1,1,0,0,0
7P2SH4  ,2,1,0,1,0,0,0,1,0
7QHI59  ,2,1,0,0,0,1,0,0,0
7R1ZQG  ,3,1,0,1,1,0,0,1,0
7WGXBH  ,2,1,0,0,1,0,0,0,0
7YM8Z5  ,3,1,0,0,0,1,1,2,0
83HYJ8  ,2,1,0,0,1,0,0,0,0
842XQQ  ,3,1,0,0,0,1,1,0,0
84PGDJ  ,2,1,0,1,0,0,0,2,0
87PAX1  ,1,1,0,0,0,0,0,3,0
87SAFU  ,4,1,1,0,1,1,0,0,0
88UJJW  ,1,1,0,0,0,0,0,0,0
898LI1  ,1,1,0,0,0,0,0,1,1
8B9EIH  ,1,1,0,0,0,0,0,2,0
8BY993  ,2,1,0,0,0,2,0,0,0
8DST76  ,2,1,0,0,0,0,1,1,0
8GYGAU  ,2,1,0,0,0,1,0,0,0
8IRJE9  ,3,1,0,0,1,0,1,2,0
8JZJM6  ,3,1,0,1,1,0,0,0,0
8KKIF4  ,2,1,1,0,0,0,0,0,0
8LW18U  ,1,1,0,0,0,0,0,0,0
8MPP5P  ,2,1,0,0,1,0,0,0,0
8MTBYQ  ,1,1,0,0,0,0,0,2,0
8OXQOE  ,2,1,0,0,1,0,0,0,0
8P8QKF  ,3,1,1,0,1,0,0,2,0
8T1K7S  ,4,1,1,1,0,0,1,1,0
8TJPAN  ,2,1,1,0,0,0,0,0,0
8ULF22  ,2,1,1,0,0,0,0,0,0
8VR7P3  ,1,1,0,0,0,0,0,2,0
8YNXQE  ,1,1,0,0,0,0,0,1,1
8ZMSOA  ,1,1,0,0,0,0,0,1,0
91GW2Q  ,1,1,0,0,0,0,0,2,0
91IZ15  ,2,1,0,0,0,1,0,0,0
945XQF  ,2,1,0,0,1,0,0,0,0
96RRRF  ,1,1,0,0,0,0,0,2,0
99DVBF  ,1,1,0,0,0,0,0,2,0
9AS89U  ,1,1,0,0,0,0,0,0,0
9C8ID8  ,1,1,0,0,0,0,0,1,0
