Seed,Score,Negative_Jokers,Negative_Blueprint,Negative_Brainstorm,Blueprint,Brainstorm,Perkeo,Odd_Todd,Negative_Odd_Todd,9,Magic_Trick,Illusion,DNA,Pareidolia,Golden_Ticket
RUVXA9Q6,33,0,0,0,0,0,1,1,0,11,1,0,0,1,1
ZRVGKZC6,33,0,0,0,0,1,1,1,0,10,1,1,0,1,0
ZRYG3Z6Q,33,0,0,0,0,0,1,1,0,13,1,0,0,0,0
ZRYJGJ7M,33,0,0,0,0,1,1,1,0,11,1,1,0,0,0
24J1N,32,0,0,0,0,0,1,2,0,11,0,0,0,1,1
3O62HTQ4,32,1,0,0,0,0,1,1,0,11,1,0,0,1,0
8TT5GH,32,0,0,0,0,0,1,1,0,11,2,0,1,0,0
9RCU7W,32,0,0,0,0,0,1,2,0,10,1,0,0,1,1
C56W8Z2K,32,0,0,0,2,0,1,1,0,11,0,0,1,0,0
C58STXCW,32,1,0,0,0,1,1,0,0,11,1,0,0,1,0
C5AXPHP7,32,1,0,0,0,0,1,0,0,12,1,1,0,0,0
C5GD3U6N,32,0,0,0,0,0,1,4,0,10,1,0,0,1,0
C5IXKVYA,32,1,0,0,1,0,1,0,0,12,0,0,0,1,0
C5JC8SXU,32,0,0,0,0,0,1,2,0,11,1,0,0,0,1
C5KJDU,32,1,0,0,0,0,1,1,0,12,1,0,0,0,0
C5KPOGCD,32,1,0,0,1,0,1,1,0,10,1,0,0,1,0
C5MI66V5,32,0,0,0,0,1,2,0,0,11,0,0,0,1,1
C5MWGIBQ,32,0,0,0,0,1,1,0,0,10,0,0,1,1,2
C5R8UYAJ,32,0,0,0,1,0,2,1,0,11,1,0,0,0,0
C5SXWF73,32,0,0,0,0,0,2,0,0,12,0,0,0,1,1
C65RW87U,32,0,0,0,0,0,1,1,0,11,2,0,0,1,0
C66UPWZN,32,1,0,0,0,0,1,0,0,13,1,0,0,0,0
C66WB5JO,32,0,0,0,0,1,1,2,0,10,1,1,0,0,0
C67E4NIH,32,1,0,0,0,0,1,1,0,11,1,0,1,0,0
C67K5XE2,32,1,0,0,1,0,1,1,0,10,1,1,0,0,0
C685NU6F,32,0,0,0,0,0,1,1,0,11,2,1,0,0,0
C68GWX5G,32,1,0,0,0,0,1,1,0,10,1,1,0,1,0
C68Q7W3X,32,0,0,0,0,0,1,2,0,11,1,0,1,0,0
C69GWD9C,32,1,0,0,0,0,1,1,0,12,0,0,1,0,0
DMAIIV,32,1,0,0,0,0,1,0,0,10,1,1,1,1,0
F8PIDWLM,32,1,0,0,1,0,1,1,0,10,1,0,0,1,0
F8PKOGXS,32,0,0,0,0,0,1,1,0,10,1,1,0,0,2
F8T6JJVJ,32,0,0,0,0,0,1,0,0,11,1,0,1,2,0
F8VHM18R,32,0,0,0,1,1,2,1,0,10,0,0,0,1,0
F8WK2LRN,32,1,0,0,1,0,1,1,0,12,0,0,0,0,0
F8WNCB7K,32,3,0,0,0,0,1,1,1,11,0,0,0,0,0
F8X37S36,32,1,0,0,0,0,1,1,0,12,1,0,0,0,0
F8XKT72D,32,0,0,0,0,0,1,0,0,12,2,0,1,0,0
F91K2O7P,32,0,0,0,0,0,1,2,0,13,0,0,0,0,0
F92PEZKB,32,1,0,0,0,0,1,1,0,11,1,0,1,0,0
F94LRTMD,32,0,0,0,0,0,2,1,0,10,1,1,1,0,0
F95QD6XW,32,1,0,0,0,1,1,1,0,10,1,1,0,0,0
F95TLI6E,32,1,0,0,0,0,2,0,0,10,2,1,0,0,1
F983DQIV,32,0,0,0,1,1,1,0,0,11,2,0,0,0,0
F9CMA6YM,32,1,0,0,1,0,1,0,0,12,0,0,0,1,0
F9E2PJ8M,32,1,0,0,1,0,1,0,0,12,1,0,0,0,0
F9ELLY71,32,0,0,0,0,0,1,1,0,10,1,1,0,0,2
F9FDQPVA,32,0,0,0,0,1,1,0,0,10,2,1,0,0,1
F9HJP7I2,32,0,0,0,1,0,2,0,0,11,1,1,0,0,0
KBO9BZGN,32,0,0,0,0,0,1,0,0,11,2,1,1,0,0
KBQV8R8K,32,1,0,0,0,1,1,0,0,10,1,1,0,1,0
LN3NKOF,32,4,0,0,1,0,2,0,0,11,0,0,0,0,0
RUB53EJ5,32,0,0,0,0,0,1,2,0,12,0,0,1,0,0
RUJ9QGQZ,32,1,0,0,0,0,1,1,0,11,1,0,1,0,0
RUL6C4KT,32,1,0,0,0,0,1,1,0,11,1,0,0,1,0
RUMO19LO,32,2,0,0,0,0,1,1,0,11,2,0,0,0,0
RUR6JDMI,32,1,0,0,0,0,1,0,0,11,1,1,0,1,0
RUTYHQ78,32,0,0,0,1,1,1,1,0,10,2,0,0,0,0
ZRW67IEX,32,1,0,0,1,0,1,0,0,11,1,0,0,1,0
ZRW7A92O,32,1,0,0,1,0,1,1,0,10,0,0,0,1,1
ZRX5UFAX,32,0,0,0,0,1,2,1,0,11,1,0,0,0,0
ZRXIN82R,32,0,0,0,1,0,1,2,0,10,1,0,1,0,0
1O7CHQ,31,0,0,0,1,0,1,1,0,10,1,1,0,0,0
26ROFQ,31,0,0,0,0,0,1,1,0,10,1,1,1,0,0
2V73GX,31,0,0,0,0,0,1,1,0,12,1,0,0,0,0
34ULUY,31,0,0,0,1,0,1,1,0,11,0,0,1,0,0
3BWMNQ,31,0,0,0,1,0,1,0,0,12,1,0,0,0,0
3O5G2VBS,31,0,0,0,0,0,1,1,0,10,1,0,1,1,0
3O5LS83U,31,0,0,0,0,0,1,1,0,12,0,0,0,1,0
3O6H39WR,31,0,0,0,1,1,1,1,0,10,1,0,0,0,0
3O6MOYXA,31,1,0,0,0,1,1,1,0,10,2,0,0,0,0
3O7FUOIC,31,0,0,0,0,1,1,1,0,10,1,0,0,1,0
3O8EGLF3,31,0,0,0,1,1,1,1,0,10,1,0,0,0,0
3U68PE,31,0,0,0,0,0,1,1,0,11,1,1,0,0,0
4TPMHQ,31,0,0,0,0,0,1,1,0,10,1,1,0,1,0
4YZSA2,31,1,0,0,0,0,1,1,0,10,2,0,1,0,0
66YOUF,31,0,0,0,0,1,1,0,0,11,1,0,1,0,0
68XQ94,31,0,0,0,0,0,1,1,0,11,0,0,1,1,0
6JCGTA,31,0,0,0,0,1,1,1,0,10,1,1,0,0,0
6NATIG,31,0,0,0,0,1,1,0,0,10,1,0,1,1,0
7546LE,31,0,0,0,0,0,1,0,0,12,1,1,0,0,0
7CZCFG,31,0,0,0,0,1,1,1,0,10,1,0,0,0,1
7JTF73,31,0,0,0,0,0,1,1,0,11,1,0,0,1,0
8IZVNS,31,0,0,0,0,0,1,1,0,12,0,0,0,1,0
8O8CM7,31,0,0,0,0,1,1,1,0,10,1,1,0,0,0
9KT841,31,0,0,0,0,0,1,1,0,12,1,0,0,0,0
A26ZRK,31,0,0,0,0,0,1,1,0,11,1,0,1,0,0
AN36V4,31,0,0,0,1,0,1,1,0,10,1,0,0,1,0
AR7YQU,31,0,0,0,0,0,1,1,0,11,0,0,0,1,1
B1WLDG,31,0,0,0,0,1,1,1,0,11,1,0,0,0,0
BVR7ST9L,31,0,0,0,0,0,1,1,0,11,1,1,0,0,0
BVRHYY11,31,0,0,0,0,0,1,3,0,11,0,0,1,0,0
C544NDCU,31,0,0,0,1,0,1,1,0,12,0,0,0,0,0
C54L1XW7,31,0,0,0,0,0,1,1,0,10,1,0,1,1,0
C54ZXRPT,31,0,0,0,1,1,1,1,0,11,0,0,0,0,0
C55LO6Y8,31,1,0,0,0,0,1,1,0,11,0,0,0,0,2
C55VJMIR,31,0,0,0,0,0,1,0,0,12,0,0,0,1,1
C56B2U23,31,0,0,0,0,0,1,1,0,12,1,0,0,0,0
C57WFK8D,31,1,0,0,0,0,1,2,0,12,0,0,0,0,0
C57ZDPJO,31,0,0,0,0,0,1,1,0,11,1,0,0,0,1
C57ZUOYE,31,1,0,0,0,0,2,0,0,11,1,0,0,1,0
C58MZGH9,31,0,0,0,0,0,1,1,0,12,0,0,0,1,0
C59N66V5,31,0,0,0,0,0,1,1,0,11,1,0,0,1,0
C59Y1HEO,31,0,0,0,0,0,1,1,0,11,1,0,0,1,0
C5AMAOO9,31,0,0,0,0,0,1,1,0,10,1,1,0,1,0
C5BG8ZYS,31,0,0,0,0,0,2,1,0,10,0,0,2,1,0
C5C56WWR,31,0,0,0,0,0,1,1,0,10,1,1,0,1,0
C5CJWJ14,31,0,0,0,0,0,1,1,0,13,0,0,0,0,0
C5CPTSH1,31,0,0,0,1,0,1,1,0,11,1,0,0,0,0
C5CUGXG1,31,0,0,0,0,0,3,1,0,10,1,0,1,0,0
C5CYIFJR,31,0,0,0,1,0,1,1,0,11,1,0,0,0,0
C5D8PMFB,31,0,0,0,0,1,1,1,0,11,0,0,0,1,0
C5DKQ61G,31,1,0,0,0,0,1,1,0,11,2,0,0,0,0
C5DRBTW6,31,0,0,0,1,0,1,1,0,11,1,0,0,0,0
C5E5H3UB,31,0,0,0,0,0,1,0,0,13,0,0,1,0,0
C5EAYVDU,31,0,0,0,0,0,1,1,0,11,1,0,0,1,0
C5ENNS6K,31,0,0,0,0,0,1,1,0,11,1,0,1,0,0
C5F3F8NN,31,0,0,0,0,0,1,0,0,13,0,0,0,0,1
C5FCKUDI,31,0,0,0,0,0,1,1,0,11,1,0,0,1,0
C5FJY1KS,31,0,0,0,1,0,1,1,0,10,1,1,0,0,0
C5FLJIRF,31,0,0,0,0,0,1,0,0,12,0,0,1,1,0
C5FTAKG5,31,0,0,0,0,1,1,1,0,10,1,0,0,1,0
C5G5IDLL,31,0,0,0,0,1,1,1,0,10,1,1,0,0,0
C5GOIPBP,31,0,0,0,0,0,1,1,0,10,1,1,1,0,0
C5K26TG3,31,1,0,0,0,0,2,1,0,10,1,0,0,1,0
C5KOF6V4,31,0,0,0,0,1,1,1,0,12,0,0,0,0,0
C5LATC2G,31,0,0,0,0,1,1,0,0,12,1,0,0,0,0
C5LOP4V8,31,0,0,0,0,0,1,1,0,10,1,0,1,1,0
C5LU1DHM,31,0,0,0,0,0,1,1,0,11,1,1,0,0,0
C5LXZOL4,31,0,0,0,0,1,1,1,0,11,1,0,0,0,0
C5MC58H3,31,1,0,0,1,0,1,0,0,11,0,0,0,0,2
C5N3BG6U,31,0,0,0,0,0,1,1,0,12,1,0,0,0,0
C5NM4KJY,31,0,0,0,1,0,1,0,0,11,1,0,1,0,0
C5NXZT3A,31,2,0,0,0,0,1,1,0,10,0,0,0,1,1
C5SN5LAI,31,0,0,0,0,0,1,1,0,12,1,0,0,0,0
C5UAWBEE,31,0,0,0,0,1,1,1,0,12,0,0,0,0,0
C5UW6LD8,31,1,0,0,1,0,2,1,1,10,0,0,0,0,0
